,dt,from_time,to_time,jaggedness,area,score
192,2022/09/09,00:00:00,23:59:59,110.78833792679612,0.2271862403447895,0.0020506331676796506
324,2023/01/19,00:00:00,23:59:59,2.1278901948852638,0.0043459947863444,0.0020423961710010776
225,2022/10/12,00:00:00,23:59:59,76.11158158624535,0.1463659660964097,0.0019230446017017271
221,2022/10/08,00:00:00,23:59:59,105.58360243216693,0.1976357144751833,0.0018718409859348759
223,2022/10/10,00:00:00,23:59:59,74.54899668042083,0.1358861923071933,0.0018227769434606188
203,2022/09/20,00:00:00,23:59:59,94.56452895495732,0.1686477344281237,0.0017834143128704573
251,2022/11/07,00:00:00,23:59:59,82.0776414916885,0.1457985124278759,0.0017763487081026814
59,2022/04/29,00:00:00,23:59:59,25.007443267634496,0.0431499275752401,0.001725483373627653
54,2022/04/24,00:00:00,23:59:59,30.11365997979191,0.0478260276384575,0.0015881838232400735
222,2022/10/09,00:00:00,23:59:59,20.24496493936943,0.0314757249308556,0.0015547433658255558
30,2022/03/31,00:00:00,23:59:59,22.56543137181785,0.0343615201827101,0.0015227504237133476
25,2022/03/26,00:00:00,23:59:59,27.652088824569248,0.0373043144435158,0.001349059547731903
201,2022/09/18,00:00:00,23:59:59,29.01924533057146,0.0333498298563026,0.0011492314660977389
245,2022/11/01,00:00:00,23:59:59,38.82245752919346,0.0254287973550647,0.0006550022583176997
17,2022/03/18,00:00:00,23:59:59,36.51651684531693,0.0231141624510759,0.0006329782916861136
202,2022/09/19,00:00:00,23:59:59,42.90338742215554,0.0212073126660333,0.0004943039219108777
229,2022/10/16,00:00:00,23:59:59,12.12862903210767,0.0016787426675561,0.00013841157670104568
73,2022/05/13,00:00:00,23:59:59,43.03924499673744,0.0047713752950629,0.00011086103614095904
247,2022/11/03,00:00:00,23:59:59,352.2159966565428,0.0001007654636044,2.860899691125036e-07
52,2022/04/22,00:00:00,23:59:59,1.0,2.314841606963044e-08,2.314841606963044e-08
74,2022/05/14,00:00:00,23:59:59,1.0,2.314841606963044e-08,2.314841606963044e-08
267,2022/11/23,00:00:00,23:59:59,1.0,1.1574208034815218e-08,1.1574208034815218e-08
250,2022/11/06,00:00:00,23:59:59,0.0,0.0,0.0
249,2022/11/05,00:00:00,23:59:59,0.0,0.0,0.0
242,2022/10/29,00:00:00,23:59:59,0.0,0.0,0.0
0,2022/03/01,00:00:00,23:59:59,0.0,0.0,0.0
266,2022/11/22,00:00:00,23:59:59,0.0,0.0,0.0
317,2023/01/12,00:00:00,23:59:59,0.0,0.0,0.0
325,2023/01/20,00:00:00,23:59:59,0.0,0.0,0.0
323,2023/01/18,00:00:00,23:59:59,0.0,0.0,0.0
322,2023/01/17,00:00:00,23:59:59,0.0,0.0,0.0
321,2023/01/16,00:00:00,23:59:59,0.0,0.0,0.0
320,2023/01/15,00:00:00,23:59:59,0.0,0.0,0.0
319,2023/01/14,00:00:00,23:59:59,0.0,0.0,0.0
318,2023/01/13,00:00:00,23:59:59,0.0,0.0,0.0
316,2023/01/11,00:00:00,23:59:59,0.0,0.0,0.0
307,2023/01/02,00:00:00,23:59:59,0.0,0.0,0.0
315,2023/01/10,00:00:00,23:59:59,0.0,0.0,0.0
314,2023/01/09,00:00:00,23:59:59,0.0,0.0,0.0
313,2023/01/08,00:00:00,23:59:59,0.0,0.0,0.0
312,2023/01/07,00:00:00,23:59:59,0.0,0.0,0.0
311,2023/01/06,00:00:00,23:59:59,0.0,0.0,0.0
310,2023/01/05,00:00:00,23:59:59,0.0,0.0,0.0
309,2023/01/04,00:00:00,23:59:59,0.0,0.0,0.0
326,2023/01/21,00:00:00,23:59:59,0.0,0.0,0.0
327,2023/01/22,00:00:00,23:59:59,0.0,0.0,0.0
328,2023/01/23,00:00:00,23:59:59,0.0,0.0,0.0
329,2023/01/24,00:00:00,23:59:59,0.0,0.0,0.0
344,2023/02/08,00:00:00,23:59:59,0.0,0.0,0.0
343,2023/02/07,00:00:00,23:59:59,0.0,0.0,0.0
342,2023/02/06,00:00:00,23:59:59,0.0,0.0,0.0
341,2023/02/05,00:00:00,23:59:59,0.0,0.0,0.0
340,2023/02/04,00:00:00,23:59:59,0.0,0.0,0.0
339,2023/02/03,00:00:00,23:59:59,0.0,0.0,0.0
338,2023/02/02,00:00:00,23:59:59,0.0,0.0,0.0
